capa_id,opened_date,due_date,defect_type,root_cause_code,owner_role,status,corrective_action,effectiveness_verified_flag
CAPA_0075,2024-01-05,2024-01-19,cosmetic_defect,wrong_bin,Assembly Supervisor,verified,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0076,2024-01-19,2024-02-02,hair_detachment,tool_jig_issue,Quality Lead,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0077,2024-02-02,2024-02-16,missing_component,wrong_bin,Supplier Manager,verified,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0078,2024-03-11,2024-03-25,cosmetic_defect,training_gap,Quality Lead,verified,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0079,2024-03-13,2024-03-27,packaging_error,supplier_variation,Assembly Supervisor,closed,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0080,2024-03-21,2024-04-04,hair_detachment,unclear_work_instruction,Quality Lead,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0081,2024-04-12,2024-04-26,damaged_return,wrong_bin,Assembly Supervisor,closed,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0082,2024-05-02,2024-05-16,damaged_return,training_gap,Assembly Supervisor,open,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0083,2024-05-08,2024-05-22,late_shipment,supplier_variation,Supplier Manager,verified,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0084,2024-06-23,2024-07-07,wrongly_assembled,unclear_work_instruction,Assembly Supervisor,verified,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0085,2024-06-03,2024-06-17,cosmetic_defect,tool_jig_issue,Assembly Supervisor,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0086,2024-07-05,2024-07-19,missing_component,tool_jig_issue,Supply Chain Manager,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0087,2024-07-08,2024-07-22,torso_seam_defect,rush_overload,Quality Lead,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0088,2024-08-18,2024-09-01,wrongly_assembled,training_gap,Supply Chain Manager,verified,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0089,2024-08-10,2024-08-24,hair_detachment,supplier_variation,Assembly Supervisor,verified,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0090,2024-09-11,2024-09-25,missing_component,wrong_bin,Assembly Supervisor,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0091,2024-09-06,2024-09-20,torso_seam_defect,shipping_damage,Quality Lead,verified,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0092,2024-11-02,2024-11-16,missing_component,supplier_variation,Supplier Manager,open,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0093,2024-12-24,2025-01-07,missing_component,shipping_damage,Supplier Manager,open,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0094,2025-01-23,2025-02-06,wrongly_assembled,supplier_variation,Supplier Manager,closed,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0095,2025-01-09,2025-01-23,packaging_error,rush_overload,Quality Lead,open,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0096,2025-01-07,2025-01-21,hair_detachment,training_gap,Supplier Manager,verified,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0097,2025-02-02,2025-02-16,packaging_error,rush_overload,Supplier Manager,closed,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0098,2025-02-19,2025-03-05,hair_detachment,wrong_bin,Supplier Manager,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0099,2025-02-11,2025-02-25,torso_seam_defect,tool_jig_issue,Supplier Manager,open,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0100,2025-03-25,2025-04-08,packaging_error,wrong_bin,Supplier Manager,open,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0101,2025-04-16,2025-04-30,missing_component,shipping_damage,Supplier Manager,closed,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0102,2025-04-17,2025-05-01,cosmetic_defect,training_gap,Supplier Manager,closed,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0103,2025-04-18,2025-05-02,packaging_error,supplier_variation,Assembly Supervisor,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0104,2025-06-15,2025-06-29,wrongly_assembled,wrong_bin,Assembly Supervisor,verified,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0105,2025-06-11,2025-06-25,missing_component,wrong_bin,Quality Lead,closed,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0106,2025-07-18,2025-08-01,missing_component,supplier_variation,Supply Chain Manager,verified,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0107,2025-07-09,2025-07-23,damaged_return,wrong_bin,Assembly Supervisor,in_progress,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0108,2025-07-05,2025-07-19,hair_detachment,tool_jig_issue,Supplier Manager,verified,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0109,2025-07-20,2025-08-03,torso_seam_defect,wrong_bin,Quality Lead,open,"Review standard work, retrain staff, and verify next lot/process sample.",True
CAPA_0110,2025-08-16,2025-08-30,damaged_return,rush_overload,Assembly Supervisor,closed,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0111,2025-09-03,2025-09-17,torso_seam_defect,unclear_work_instruction,Supply Chain Manager,open,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0112,2025-10-04,2025-10-18,wrongly_assembled,tool_jig_issue,Assembly Supervisor,open,"Review standard work, retrain staff, and verify next lot/process sample.",False
CAPA_0113,2025-10-11,2025-10-25,packaging_error,unclear_work_instruction,Supply Chain Manager,closed,"Review standard work, retrain staff, and verify next lot/process sample.",True
